Home Team,Home Score,Away Score,Away Team,Week
Packers,10,03,Bears,1
Rams,30,27,Panthers,1
Redskins,27,32,Eagles,1
Bills,17,16,Jets,1
Falcons,12,28,Vikings,1
Ravens,59,10,Dolphins,1
Chiefs,40,26,Jaguars,1
Titans,43,13,Browns,1
Colts,24,30,Chargers,1
Bengals,20,21,Seahawks,1
49ers,31,17,Buccaneers,1
Giants,17,35,Cowboys,1
Lions,27,27,Cardinals,1
Steelers,03,33,Patriots,1
Texans,28,30,Saints,1
Broncos,16,24,Raiders,1
Buccaneers,20,14,Panthers,2
Cardinals,17,23,Ravens,2
Cowboys,31,21,Redskins,2
Colts,19,17,Titans,2
Seahawks,28,26,Steelers,2
Bills,28,14,Giants,2
49ers,41,17,Bengals,2
Chargers,10,13,Lions,2
Vikings,16,21,Packers,2
Jaguars,12,13,Texans,2
Patriots,43,00,Dolphins,2
Chiefs,28,10,Raiders,2
Saints,09,27,Rams,2
Bears,16,14,Broncos,2
Eagles,20,24,Falcons,2
Browns,23,03,Jets,2
Titans,07,20,Jaguars,3
Bengals,17,21,Bills,3
Lions,27,24,Eagles,3
Jets,14,30,Patriots,3
Raiders,14,34,Vikings,3
Ravens,28,33,Chiefs,3
Falcons,24,27,Colts,3
Broncos,16,27,Packers,3
Dolphins,06,31,Cowboys,3
Giants,32,31,Buccaneers,3
Panthers,38,20,Cardinals,3
Steelers,20,24,49ers,3
Saints,33,27,Seahawks,3
Texans,27,20,Chargers,3
Rams,20,13,Browns,3
Bears,31,15,Redskins,3
